brandName,productName,categoryType,bodyParts,productFunction,babyProduct,eczemaProduct,country,productIngredient,productURL
WATER360 BY WATSONS,Mineral Spring Facial Wash 100ml,cleanser,"face, feet, lips, eye","cleansing, moisturizing, nourishing, brightening, soothing, repairing",No,No,,"aqua, glycerin, sodium cocoyl glyoncrte, disodium lauryl sulfosuccinate, sodium chloride, cocamide dea, glycol distearcrte, ceramide AP, ceramide NP, ceramide NS, glycolipids, glycosphingolipids, aqua lonsen-suit, sea sift extract, hydroxypropylthmonium hyaluronate, sodium acetylated hyaluronate, hydrolyzed hyaluronic acid, hyaluronic acid, hydrolyzed sodium hyaluronate, sodium hyaluronate crosspolymer, potassium hyaluronate, sodium hyaluronate, phenylalanine, tyrosine, leucine, isoleuone, valine, alanine, *One, praline, glutamic acid, serine, threonine, aspartic acid, arginine, lysine, histidine, limonium vulgare flowerAeaf/stem extract, hydrolyzed corallina officinalis extract, chondrus crispus Icanogeenan) extract, glucose, sorbitol, xylitol, panthenol, propylene glycol, pentylene glycol, butylene glycol, cocamidopropyl betaine, citric acid, lauric acid, myristic acid, allantoin, xanthan gum, 1,2-hexanediol, glyceryl caprylate, caprylyl glycol, ethylhexylglyc-enn, caprylhydroxamic acid, phenoxyethanol, chlorphenesin, potassium sorbate, sodium benzoate, disodium EDTA, parfum",https://www.watsons.com.my/water360-by-watsons-mineral-spring-facial-wash-100ml/p/BP_23418
SAFI,Pembersih Muka Gamat 100g,cleanser,face,"cleansing, moisturizing, acne treatment, repairing",No,No,,SAFI PBERSH MK GMT100GM,https://www.watsons.com.my/safi-pembersih-muka-gamat-100g/p/BP_44726
OLAY,Total Effects Foaming Cleanser 100g,cleanser,face,"cleansing, moisturizing, rejuvenating, nourishing, brightening, anti-aging, acne treatment, soothing, protecting, repairing",No,No,,OLAY TE FM CLSR 100GM,https://www.watsons.com.my/olay-total-effects-foaming-cleanser-100g/p/BP_98488
WATER360 BY WATSONS,Mineral Spring Cleansing Foam 150ml,cleanser,"face, lips, eye","cleansing, moisturizing, soothing, repairing",No,No,,"aqua, sodium laureth sulfate, butylene glycol, glycerin, sodium lauroyl sarcosinate, PEG-8, cocamidopropyl betaine, aqua ionsen-suit sea silt extract limonium vulgare flower/leaf/stem extract, hydrolyzed corallina officinalis extract, hydroxypropyltrimonium hyaluronate, sodium acetylated hyaluronate, hydrolyzed hyaluronic acid, hyaluronic acid, hydrolyzed sodium hyaluronate, sodium hyaluronate crosspolymer, potassium hyaluronate, sodium hyaluronate, ceramide AR ceramide NP, ceramide NS, glycolipids, glycosphingolipids, glycosyl trehalose, phenylalanine, tyrosine, leucine, isoleucine, valine, alanine, glycine, praline, glutamic acid, serine, threonine, aspartic acid, arginine, histidine, lysine, chondrus crispus (carrageenan) extract, glucose, hydrogenated starch hydrolysate, xanthan gum, PEG-40 hydrogenated castor oil, hydroxyacetophenone, ethylhexylglycerin, caprylyl glycol, 1,2-hexonediol, sodium chloride, citric acid, phenoxyethanol, sodium benzoate, potassium sorbate, disodium EDTA, parfum",https://www.watsons.com.my/water360-by-watsons-mineral-spring-cleansing-foam-150ml/p/BP_23394
SKINTIFIC,Panthenol Gentle Gel Cleanser 120ml,cleanser,"face, eye","cleansing, moisturizing, brightening, acne treatment, repairing",No,No,,"AQUA, POTASSIUM COCOYL GLYCINATE, PANTHENOL, POTASSIUM COCOATE, ACRYLATES/STEARETH-20 METHACRYLATE CROSSPOLYMER, SODIUM LAUROAMPHOACETATE, CENTELLA ASIATICA EXTRACT, GLYCERIN, DECYL GLUCOSIDE, CERAMIDE NP, CERAMIDE NS/CERAMIDE NG, CERAMIDE AS, CERAMIDE EOP, CERAMIDE AP, SODIUM POLYASPARTATE, BUTYLENE GLYCOL, 1,2-HEXANEDIOL, PENTYLENE GLYCOL, PROPANEDIOL, METHYL DIISOPROPYL PROPIONAMIDE, ETHYL MENTHANE CARBOXAMIDE, MENTHYL LACTATE, HYDROXYPROPYLCELLULOSE, ISOPROPYL PALMITATE, TREHALOSE, SERINE, ALGIN, CAPRYLYL GLYCOL, SODIUM HYALURONATE, PULLULAN, DISODIUM PHOSPHATE, POTASSIUM PHOSPHATE, HYDROGENATED LECITHIN, POLYGLYCERYL-10 STEARATE, ETHYLHEXYLGLYCERIN",https://www.watsons.com.my/skintific-panthenol-gentle-gel-cleanser-120ml/p/BP_1001259
HIMALAYA,Vitamin C Orange Face Wash 100ml,cleanser,"face, neck","cleansing, moisturizing, rejuvenating, brightening, soothing, repairing",No,No,,"Orange, Vitamin C, Niacinamide",https://www.watsons.com.my/himalaya-vitamin-c-orange-face-wash-100ml/p/BP_1008643
CeraVe,Foaming Cleanser for Oily Skin 236ml,cleanser,face,"cleansing, moisturizing, soothing, protecting, repairing",No,No,,"AQUA/WATER, GLYCERIN, COCO-BETAINE, PROPYLENE GLYCOL, SODIUM COCOYL GLYCINATE, PEG-120 METHYL GLUCOSE DIOLEATE, SODIUM CHLORIDE, ACRYLATES COPOLYMER, CITRIC ACID, CAPRYLOYL GLYCINE, CAPRYLYL GLYCOL, SODIUM HYDROXIDE,NIACINAMIDE, DISODIUM EDTA, SODIUM HYALURONATE, SODIUM LAUROYL LACTYLATE, CERAMIDE NP,PHENOXYETHANOL, CERAMIDE AP, PHYTOSPHINGOSINE, CHOLESTEROL, XANTHAN GUM, CARBOMER,ETHYLHEXYLGLYCERIN, CERAMIDE EOP. (Code F.I.L. D250307/1)",https://www.watsons.com.my/cerave-foaming-cleanser-for-oily-skin-236ml/p/BP_1004945
SKINTIFIC,5X Ceramide Low pH Cleanser 80ml,cleanser,"face, eye","cleansing, moisturizing, acne treatment, protecting, repairing, firming",No,No,,"AQUA, GLYCERIN, SODIUM COCOYL GLYCINATE, LAURYL HYDROXYSULTAINE, CORN STARCH MODIFIED, PPG-10 METHYL GLUCOSE ETHER, TREMELLA FUCIFORMIS EXTRACT, SODIUM LAUROYL ASPARTATE, SODIUM LAUROYL GLUTAMATE, CERAMIDE NP, CERAMIDE AP, CERAMIDE EOP, ALLANTOIN, XYLITYLGLUCOSIDE, ANHYDROXYLITOL, ACRYLATES COPOLYMER, SODIUM CHLORIDE, 1,2-HEXANEDIOL, HYDROXYACETOPHENONE, COCOYL GLUTAMIC ACID, POLYQUATERNIUM-7, OLEA EUROPAEA (OLIVE) FRUIT OIL, ETHYLHEXYLGLYCERIN, XYLITOL, HYALURONIC ACID, ARGININE, CHOLESTEROL, PEG-14M, POLYQUATERNIUM-15, TETRASODIUM EDTA, PHENOXYETHANOL, LAMINARIA DIGITATA EXTRACT, HYDROGENATED LECITHIN, CETYL-PG HYDROXYETHYL PALMITAMIDE.",https://www.watsons.com.my/skintific-5x-ceramide-low-ph-cleanser-80ml/p/BP_64641
EVERSOFT,Oat Milk Rice Scrub 100G (Organic Scrub Range),cleanser,face,"cleansing, moisturizing, exfoliating, brightening, soothing, repairing",No,No,Malaysia,"Water, Cellulose, Glycerin, Cetanol, Glyceryl Stearate SE, Glyceryl Stearate, Sodium Lauryl Sulfoacetate, Cocamidopropyl Betaine, PEG-100 Stearate, Octadecanol, Hydroxyacetophenone,Carbomer, Aminomethyl Propanol, Disodium EDTA, Oryza Sativa (Rice) Hull Powder, Avena Sativa (Oat) Kernel Extract, Citric Acid, Xanthan Gum, Fragrance, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate.",https://www.watsons.com.my/eversoft-oat-milk-rice-scrub-100g-organic-scrub-range/p/BP_41931
SIMPLE,Kind to Skin Moisturising Foaming Wash 150ml,cleanser,Not specified,"cleansing, moisturizing, exfoliating, nourishing, repairing",No,No,,SIM KTS FOAM FC WSH 150ML,https://www.watsons.com.my/simple-kind-to-skin-moisturising-foaming-wash-150ml/p/BP_21864
